komentar,sentimen
Memangx jaman nurdin timnas pernah berprestasi...,Netral
Nil Maizar komentar nya top,Pro
"Terimakasih statement nil Maizar, sangat objektif dan elegan sekal",Netral
Pak Nurdin memang jawaban yang tepat hebat,Pro
sebagai suporter hanya bisa mendoakan semoga timnas makin maju makin sukses,Netral
Sintayong terbaik yg kami lihat di timnas Indonesia,Pro
Mantap pak erick. Bravo timnas.,Pro
"jadi inget jaman nurdin halid,
sampai ada lagu nya :p

#revoluPSSI",Netral
"Thanka COAC STY, ANDA TETAP TERBAIK BUAT KAMI FANS TIMNAS...SAYA SUDAH 20 TAHUN LEBIH GAK MENONTON TIMNAS LAGI KARENA BANYAK MIX FIXING DAN CARA MAIN TIMNAS YANG MENYEBALKAN (umpan gak jelas, lari lari dan lari, mainnya sepakbola nrgatif) TAPI STY MEMBAWA KEMBALI GAIRAH PENCINTA SEPAKBOLA...sukses selalu coac STY

SRLAMAT DATANG COAC YANG BARU SEMOGA GARUDA TERBANG LEBIH TINGGI LAGI...",Kontra
Semoga coach shin melatih negara yg hebat gak stress ngurusin pemain yg bisa di andalkan ...,Pro
Aku berterimakasih pada mu sty atas perjuanganmu dgn timnas Indonesia sampai Garuda bisa terbang tinggi,Netral
"Setuju, pemain berkumpul di ruangan mengatur strategi sendiri tanpa pelatih sewaktu melawan Arab Saudi. Sty bukan pelatih bola tapi lebih tepat personal trainer di tmpat gym",Pro
Di sini komentar yg masuk akal hanya nil maizarmantap,Pro
Setuju saya sangat mendukuhg keputusan pak erik tohir,Pro
MUDAH MUDAHAN TIDAK SEPERTI PSSI KEMBALI SEBELUM BELUMNYA ALIAS KE SETELAN PABRIK ... 🇮🇩,Netral
"Siapapun pelatihnya timnas kita itu kwalitas eropa jadi tidak ada masalah justru bagus karna sama sama eropa, walaupun pelatihnya jose mourinho tapi kalo kwalitas pemain seperti era sebelum sebelumnya tidak akan ada efeknya.",Pro
Thanks sty ....ayo bangun fans garudaku jg terlalu lama tidurnya,Netral
#Loyalitas tanpa batas TeamNas GARUDA...,Netral
Hanya bisa berdo a smg timnas kita lolos piala dunia...,Netral
Kuharap rakyat indo.dan suporter memahami apa yg di lakukan pak Erik dan ttp jadi pendukung timnas setiap,Netral
